"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"1400000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","18706","null","112679","null",
"1400000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","82031","null","215179","null",
"1400000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","30202","null","92778","null",
"1400000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","23698","null","110750","null",
"1400000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","15729","null","74183","null",
"1400000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","14244","null","56097","null",
"1400000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","15692","null","35045","null",
"1400000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","24024","null","62500","null",
"1400000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","66062","null","78654","null",
"1400000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","9932","null","31518","null",
"1400000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","16208","null","44000","null",
"1400000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","21333","null","43269","null",
"1400000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","9990","null","36979","null",
"1400000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","3400","null","20417","null",
"1400000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","13459","null","33807","null",
"1400000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","10118","null","37639","null",
"1400000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","14153","null","29695","null",
"1400000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","9243","null","44181","null",
"1400000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","6934","null","42718","null",
"1400000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","10448","null","85213","null",
"1400000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","19238","null","90278","null",
"1400000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","17855","null","92841","null",
"1400000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","21136","null","89464","null",
"1400000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","39132","null","78523","null",
"1400000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","11841","null","51840","null",
"1400000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","11342","null","56128","null",
"1400000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","16184","null","75789","null",
"1400000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","8621","null","62740","null",
"1400000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","17230","null","58750","null",
"1400000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","14872","null","56250","null",
"1400000US42101026400","Census Tract 264, Philadelphia County, Pennsylvania","4509","null","53207","null",
"1400000US42101026500","Census Tract 265, Philadelphia County, Pennsylvania","7582","null","46596","null",
"1400000US42101026600","Census Tract 266, Philadelphia County, Pennsylvania","10622","null","51379","null",
"1400000US42101026700","Census Tract 267, Philadelphia County, Pennsylvania","9906","null","52516","null",
"1400000US42101026800","Census Tract 268, Philadelphia County, Pennsylvania","8701","null","41054","null",
"1400000US42101026900","Census Tract 269, Philadelphia County, Pennsylvania","16909","null","63750","null",
"1400000US42101027000","Census Tract 270, Philadelphia County, Pennsylvania","9569","null","72352","null",
"1400000US42101027100","Census Tract 271, Philadelphia County, Pennsylvania","5824","null","49038","null",
"1400000US42101027200","Census Tract 272, Philadelphia County, Pennsylvania","13902","null","55747","null",
"1400000US42101027300","Census Tract 273, Philadelphia County, Pennsylvania","4979","null","46118","null",
"1400000US42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania","20092","null","37917","null",
"1400000US42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania","3202","null","32485","null",
"1400000US42101027500","Census Tract 275, Philadelphia County, Pennsylvania","8754","null","47531","null",
"1400000US42101027600","Census Tract 276, Philadelphia County, Pennsylvania","7340","null","38083","null",
"1400000US42101027700","Census Tract 277, Philadelphia County, Pennsylvania","9920","null","43542","null",
"1400000US42101027800","Census Tract 278, Philadelphia County, Pennsylvania","8503","null","30889","null",
"1400000US42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania","8133","null","38362","null",
"1400000US42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania","25578","null","36053","null",
"1400000US42101028000","Census Tract 280, Philadelphia County, Pennsylvania","14231","null","29657","null",
"1400000US42101028100","Census Tract 281, Philadelphia County, Pennsylvania","8629","null","39132","null",
"1400000US42101028200","Census Tract 282, Philadelphia County, Pennsylvania","7626","null","40541","null",
"1400000US42101028300","Census Tract 283, Philadelphia County, Pennsylvania","4924","null","26488","null",
"1400000US42101028400","Census Tract 284, Philadelphia County, Pennsylvania","8352","null","35081","null",
"1400000US42101028500","Census Tract 285, Philadelphia County, Pennsylvania","12312","null","37039","null",
"1400000US42101028600","Census Tract 286, Philadelphia County, Pennsylvania","19773","null","30089","null",
"1400000US42101028700","Census Tract 287, Philadelphia County, Pennsylvania","4569","null","26280","null",
"1400000US42101028800","Census Tract 288, Philadelphia County, Pennsylvania","3534","null","27865","null",
"1400000US42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania","5135","null","38280","null",
"1400000US42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","14563","null","31123","null",
"1400000US42101029000","Census Tract 290, Philadelphia County, Pennsylvania","7213","null","36761","null",
"1400000US42101029100","Census Tract 291, Philadelphia County, Pennsylvania","7382","null","27313","null",
"1400000US42101029200","Census Tract 292, Philadelphia County, Pennsylvania","14876","null","36842","null",
"1400000US42101029300","Census Tract 293, Philadelphia County, Pennsylvania","14127","null","26154","null",
"1400000US42101029400","Census Tract 294, Philadelphia County, Pennsylvania","6125","null","24263","null",
"1400000US42101029800","Census Tract 298, Philadelphia County, Pennsylvania","7847","null","37771","null",
